@relation train

@attribute sent_num_word numeric
@attribute pos_cont_uni numeric
@attribute pos_prob_uni numeric
@attribute neg_count_uni numeric
@attribute neg_prob_uni numeric
@attribute neu_count_uni numeric
@attribute neu_prob_uni numeric
@attribute pos_cont_bi numeric
@attribute pos_prob_bi numeric
@attribute neg_count_bi numeric
@attribute neg_prob_bi numeric
@attribute neu_count_bi numeric
@attribute neu_prob_bi numeric
@attribute pos_cont_tri numeric
@attribute pos_prob_tri numeric
@attribute neg_count_tri numeric
@attribute neg_prob_tri numeric
@attribute neu_count_tri numeric
@attribute neu_prob_tri numeric
@attribute sen_char_meann numeric
@attribute nesbat numeric
@attribute jacard numeric
@attribute moshabeh numeric
@attribute gheir_moshabeh numeric
@attribute class {pos,neg,neu}

@data
7,7,5.601392,7,1.53322,7,0.865389,6,4.838307,4,0.346302,5,0.81539,5,4,0,0,4,1,3.857143,0,0,0,7,pos
17,17,13.112929,16,3.833226,15,3.053845,16,14.906078,6,2.451441,6,0.642481,15,15,0,0,0,0,3.411765,2.428571,0.095238,2,14,pos
12,12,9.626591,10,1.626883,11,0.746526,11,10.196192,5,0.662435,3,0.141373,10,9.833333,1,0.166667,0,0,4.083333,0.705882,0.076923,1,10,pos
12,12,10.420896,8,2.000001,9,0.579103,11,10.571192,3,1.375828,1,0.05298,10,10,0,0,0,0,4.5,1,0.4375,6,5,pos
7,7,5.737117,6,1.365477,7,0.897406,6,5.399069,2,0.439479,2,0.161453,5,4.857143,0,0,1,0.142857,4.142857,0.583333,0.142857,12,3,pos
13,13,10.894403,11,3.053973,10,2.051623,12,11.374826,4,0.497054,2,0.128119,11,11,0,0,0,0,4.307692,1.857143,0.176471,14,9,pos
10,10,8.625329,7,1.509208,7,0.865463,9,8.606452,2,0.329032,1,0.064516,8,7.571429,1,0.428571,0,0,4.3,0.769231,0.095238,16,4,pos
6,6,5.520251,3,0.352337,2,0.127412,5,4.880597,1,0.074627,1,0.044776,4,4,0,0,0,0,5.333333,0.6,0.071429,15,4,pos
8,8,7.025712,5,0.72355,4,0.250738,7,7,0,0,0,0,6,6,0,0,0,0,5.375,1.333333,0.076923,15,4,pos
12,12,9.497537,10,1.432402,12,1.070061,11,9.771743,5,0.436703,8,1.791555,10,9.733333,1,0.166667,2,1.1,3.666667,1.5,0.111111,19,8,pos
17,17,13.632208,16,3.114633,14,2.253159,16,14.972874,6,0.822959,3,1.204167,15,15,0,0,0,0,3.705882,1.416667,0.08,37,7,pos
8,8,5.952937,8,1.995628,8,1.051435,7,5.828681,5,0.665479,5,0.505839,6,5.916667,0,0,1,0.083333,3.875,0,0,0,8,pos
6,6,5.196428,4,0.438528,5,0.365044,5,4.635417,1,0.142857,2,0.221726,4,4,0,0,0,0,3.833333,0.75,0,0,6,pos
4,4,3.315706,2,0.306883,3,0.377412,3,3,0,0,1,1,2,2,0,0,0,0,6.25,0.666667,0,1,3,pos
11,11,8.151422,11,2.873773,11,0.974805,10,8.168073,7,2.723754,3,1.108173,9,9,0,0,0,0,3.636364,2.75,0.153846,5,7,pos
5,5,3.833382,5,1.39718,5,0.769437,4,3.564502,3,1.214286,2,0.221212,3,2.833333,1,0.166667,0,0,3,0.454545,0.142857,3,2,pos
13,13,10.691771,12,3.421274,12,1.886955,12,10.888807,2,0.301471,5,0.809722,11,10.875,0,0,1,0.125,4.307692,2.6,0,3,10,pos
10,10,8.770816,7,1.542675,7,0.686509,9,8.835616,1,0.136986,1,0.027397,8,8,0,0,0,0,5.1,0.769231,0.166667,8,6,pos
10,10,8.695413,6,0.780423,6,0.524163,9,8.469115,3,0.357533,3,0.173352,8,8,0,0,0,0,5.3,2,0.153846,10,8,pos
9,9,7.383632,7,1.13212,6,0.484248,8,6.929517,5,0.790549,4,0.279933,7,6.916667,0,0,1,0.083333,4.555556,1.125,0.214286,16,3,pos
21,21,17.187607,20,5.071251,19,3.741142,20,17.649892,11,1.533972,11,3.816136,19,19,0,0,0,0,3.571429,2.333333,0.181818,25,9,pos
8,8,5.873822,8,2.225999,7,0.900179,7,6.149415,4,0.561076,5,0.289508,6,5.783784,1,0.216216,0,0,3.875,0,0,0,8,pos
12,12,9.534061,11,1.752732,10,1.713207,11,10.094444,3,0.709722,4,1.195833,10,10,0,0,0,0,3.166667,1.5,0.117647,1,9,pos
5,5,4.063111,5,0.550445,5,0.386443,4,4,0,0,0,0,3,3,0,0,0,0,3.2,0.416667,0.153846,4,3,pos
13,13,10.72783,13,3.081016,13,2.191154,12,10.865676,7,1.341835,7,0.792489,11,10.75,1,0.0625,2,0.1875,3.923077,2.6,0.214286,4,8,pos
4,4,3.15787,4,0.546071,3,0.296059,3,2.923077,1,0.076923,1,1,2,2,0,0,0,0,4.5,0.307692,0,1,3,pos
12,12,10.101413,10,1.695877,10,2.20271,11,10.330121,2,0.312064,2,0.357815,10,10,0,0,0,0,5.166667,3,0,5,10,pos
12,12,9.686211,11,2.371429,10,0.94236,11,10.085787,6,0.665083,4,0.24913,10,9.916667,1,0.083333,0,0,3.916667,1,0.142857,12,6,pos
12,12,9.558543,11,1.623715,10,0.817742,11,10.047901,3,0.471181,3,0.480918,10,9.875,1,0.125,0,0,3.666667,1.333333,0.166667,21,6,pos
9,9,7.523344,8,0.93205,7,0.544606,8,7.508183,3,0.291868,2,0.199949,7,7,0,0,0,0,4.666667,0.75,0.105263,11,6,pos
11,11,9.443029,8,1.120388,7,0.436583,10,9.787645,1,0.173745,1,0.03861,9,9,0,0,0,0,4.272727,1.222222,0.1875,25,5,pos
10,10,7.778478,10,2.28118,9,0.940343,9,8.200106,6,0.590631,4,0.209263,8,7.85991,2,0.070045,2,0.070045,4.1,0,0,0,10,pos
10,10,8.544452,10,2.314,9,1.141548,9,8.374383,5,1.388583,6,0.237034,8,7.77148,1,0.078947,2,0.149573,3.9,1,0.176471,2,7,pos
9,9,7.284545,7,1.185024,7,0.530432,8,7.497946,4,0.383701,3,0.118354,7,6.85991,2,0.070045,2,0.070045,3.888889,0.9,0.058824,5,5,pos
13,13,11.653825,8,1.57798,7,0.768195,12,11.3569,4,1.337035,3,0.306065,11,11,0,0,0,0,4.230769,1.083333,0,6,9,pos
13,13,10.085803,13,4.349235,13,1.564962,4,2.369874,12,9.185986,3,0.444139,0,0,11,11,0,0,4.307692,1.3,0,3,11,neg
15,15,12.064118,12,2.743411,12,1.192471,14,12.843432,6,0.803844,4,0.352724,13,12.9,1,0.1,0,0,3.466667,0.882353,0.2,22,5,pos
